11	-0.164	0.087	-0.477	0.142	-0.012	0.481	-0.268	0.282	-0.734	0.056	-0.573	0.769	0.024	0.386	-0.462	0.307	0.247	0.392	-0.832	0.054	-0.666	-0.198	-0.69	-0.642	-0.802	-0.284	0.042	-0.142	0.007	0.391	0.055	-0.131	0.31	-0.541	-0.964	0.229	-0.049	-0.726	0.1	-0.487	-0.111	0.213	1
12	0.151	-0.378	0.103	0.305	0.061	0.359	-0.403	0.021	0.079	-0.839	0.258	-0.132	0.742	-0.045	0.011	1.271	0.198	-0.485	-0.319	0.298	0.549	0.057	1.244	0.31	0.162	0.343	-0.646	-0.146	0.104	0.216	-0.374	0.27	-0.016	-0.079	0.633	-0.134	0.492	-0.469	-0.003	-0.308	0.293	-0.533	1
13	-0.368	0.604	0.982	0.316	0.396	0.14	0.669	-0.657	0.645	0.752	0.198	0.386	0.024	-0.331	-0.686	0.705	0.265	-0.62	0.85	-0.884	0.231	0.379	0.264	0.337	0.81	0.453	-0.071	0.178	0.254	0.349	0.35	-0.222	0.628	0.366	0.633	-0.356	-1.836	0.65	-0.208	-0.413	0.607	-0.221	1
14	-0.267	0.259	-0.321	-0.129	0.133	-0.809	-0.268	0.479	1.186	0.346	0.394	-0.646	-0.756	0.241	-0.381	0.444	-0.402	0.201	-0.339	0.135	-0.328	0.237	-0.347	-0.038	-0.371	-0.284	0.796	0.064	0.232	-0.312	0.552	-0.054	-0.016	-0.112	-0.493	0.229	0.188	0.333	0.158	-1.064	0.607	-0.552	1
15	0.02	0.604	0.477	0.386	0.545	0.543	0.502	-0.138	-0.058	0.408	-0.109	0.556	0.662	-0.171	-0.341	0.068	0.338	0.263	-0.568	0.353	-0.196	-0.395	0.176	-0.166	-0.245	-0.069	0.672	0.377	0.442	-1.159	0.234	0.861	0.319	-0.238	0.217	-0.667	1.43	-0.11	0.526	-0.295	0.08	-1.17	1
16	0.322	0.132	-0.425	-0.667	0.01	0.05	-0.548	0.217	-0.844	1.637	0.503	-0.283	-0.676	-0.065	0.563	-0.31	0.162	0.17	0.444	0.764	-0.349	0.066	-0.517	0.552	-0.816	-1.184	0.732	0.878	0.464	-0.269	0.653	0.981	-0.016	0.231	-0.41	0.224	0.659	-0.726	0.274	0.308	-0.76	0.655	1
17	-0.431	0.38	0.405	-0.741	0.163	-0.712	0.292	-0.055	0.756	-0.006	0.203	0.247	-0.268	0.088	-0.334	-0.002	-0.056	0.549	-0.31	1.192	-0.328	0.379	-0.209	-0.266	-0.139	-0.393	0.304	-0.173	-0.597	-0.485	0.137	-0.222	-0.015	0.131	-0.839	-0.072	-0.652	0.278	-0.269	-0.569	0.433	0.213	1
18	0.451	0.202	0.311	0.926	0.746	0.674	0.414	-0.138	0.081	0.497	0.37	-0.21	0.743	0.38	0.413	0.715	0.678	-0.332	-0.283	0.917	0.399	0.333	0.266	0.474	0.561	-0.591	-0.619	0.061	0.496	-0.131	0.972	0.294	1.247	0.2	-0.384	0.379	1.652	0.602	0.892	0.541	-0.111	1.277	1
19	0.142	-0.937	-0.635	-0.218	-0.672	0.397	-0.548	0.313	-1.103	-0.231	-0.081	-0.142	0.637	0.077	-0.095	-0.988	0.151	-0.607	-0.338	-1.918	0.04	-0.27	0.239	0.264	0.593	0.453	-1.25	-0.358	0.08	0.142	-0.688	-0.756	-0.016	-0.33	0.825	-0.304	-0.46	0.182	-0.481	-0.37	0.403	-0.385	1
20	0.151	0.513	1.162	0.636	0.217	0.546	0.113	-0.295	0.702	1.594	0.348	0.809	0.3	0.135	-0.888	0.002	-0.076	0.5	0.154	-1.253	0.167	-0.193	0.312	-0.585	0.369	0.248	-0.14	0.158	0.781	0.064	0.482	-0.293	0.306	-0.949	1.128	-0.529	-1.063	-0.602	0.1	0.236	0.522	-0.422	1
21	-0.311	0.087	1.059	0.187	-0.085	0.028	0.667	0.282	1.006	0.024	0.585	-0.85	-0.655	-0.335	1.479	0.379	-0.388	-0.38	1.884	-0.697	-0.287	0.775	-0.353	0.534	0.365	0.275	0.349	0.196	-0.061	0.595	0.191	-0.409	0.458	0.497	0.459	-0.187	-0.652	0.034	0.1	-1.064	0.427	0.213	1
22	-0.041	-0.378	0.769	0.332	-0.282	-0.314	0.292	-0.138	0.724	-0.276	0.239	0.392	0.742	0.029	-0.618	0.724	0.53	-0.516	-0.06	-0.992	1.063	0.779	1.38	0.633	0.633	0.749	-1.04	-1.173	-0.775	0.391	-0.602	-0.035	0.201	1.25	1.128	0.433	1.323	1.288	0.509	1.184	0.034	0.74	1
23	-0.164	-0.58	0.15	-0.433	-0.497	0.066	-0.616	0.432	0.318	-0.008	-0.303	-1.37	0.024	-0.186	0.704	-0.419	0.315	-0.516	0.419	0.01	0.231	0.594	0.151	-0.109	-0.23	1.027	-0.518	-0.601	-0.901	0.682	-0.321	-0.344	-1.062	0.028	0.137	0.199	-0.276	1.059	0.326	0.439	-0.326	1.016	1
24	-0.978	0.744	0.804	-0.193	0.097	0.282	0.766	-0.435	-0.805	0.052	1.317	-1.404	-0.999	-0.692	0.234	0.63	-0.234	-0.38	1.434	0.135	-0.212	-0.274	0.645	0.781	-0.22	-0.393	-0.341	-0.18	-0.674	1.134	0.425	-0.311	0.067	1.023	-0.212	0.64	0.659	-0.783	0.21	0.278	-0.332	0.213	1
25	0.991	-0.937	0.097	-0.944	-1.324	-0.544	-0.923	0.9	0.662	-1.521	-0.319	-1.24	-0.103	-0.593	0.218	0.351	-0.023	-0.608	0.71	-1.061	1.243	0.779	0.984	1.323	1.51	1.411	-1.338	-1.173	-1.75	1.146	-1.011	-1.743	-1.178	0.677	0.881	1.315	-0.873	0.543	-0.27	0.05	-1.794	-1.056	1
26	0.322	0.018	0.348	0.216	-0.177	0.428	-0.876	-0.102	-0.214	0.056	-0.37	1.362	1.269	0.714	-0.462	0.724	0.171	0.238	-0.61	-0.139	-0.555	0.237	-0.618	0.127	-0.255	-0.284	-0.201	0.204	0.049	0.232	-0.433	0.035	-0.016	-0.562	0.521	-0.087	0.832	-0.117	1.079	0.759	-0.111	0.213	1
27	-0.047	0.008	0.426	0.052	0.282	1.167	0.253	-0.291	-0.408	0.947	-0.37	-0.113	-0.775	-0.256	-0.153	-0.626	-0.292	-0.118	-0.059	-0.893	0.144	-0.248	0.101	-0.853	-0.203	0.145	-0.126	-0.446	-0.356	-0.785	-0.171	0.239	-0.326	-0.97	-1.13	-0.953	-0.135	0.126	-0.967	-0.772	0.08	0.044	1
28	0.469	-0.688	0.142	0.515	-0.045	-0.366	-0.254	0.313	0.702	-0.101	-0.071	0.708	0.041	0.542	0.311	0.161	-0.192	-0.485	0.28	-0.184	-0.328	0.378	-0.102	0.03	1.105	-0.393	-0.684	-0.334	-0.304	0.003	-0.688	-0.407	0.219	-0.319	0.314	0.306	-1.328	-0.505	0.657	0.007	-1.001	-0.385	1
29	0.371	-0.688	-1.139	0.097	-0.331	0.052	-0.505	0.478	-1.821	0.257	-0.109	-0.466	-0.125	-0.098	-0.095	-0.048	0.025	-0.214	-0.916	-0.131	0.616	-0.513	0.179	-0.057	0.017	-0.284	-0.698	-1.173	0.08	-0.321	-0.07	-0.134	-0.424	-0.82	-0.363	-0.579	0.079	-0.249	-1.271	-0.183	0.667	-0.385	1
30	0.168	0.259	-0.629	0.135	0.246	-0.001	-0.76	0.297	-1.149	-0.069	-0.36	0.148	-0.349	-0.045	0.456	-0.064	-0.258	-0.664	-0.264	0.679	-0.557	-0.258	-0.109	0.3	0.4	-0.157	0.45	-0.093	-0.299	-0.323	0.331	-0.294	-0.669	-0.33	-0.751	0.306	-0.516	-0.163	-0.629	-0.648	-0.017	-0.703	1
