11	0.154	0.289	-0.005	0.240	0.359	0.087	0.673	0.978	0.802	1.021	0.338	-0.785	-1.246	0.413	0.176	-0.558	-0.909	0.752	0.399	1.203	0.254	0.953	-0.293	1.254	0.485	-1.706	-0.178	-0.580	0.131	0.529	0.846	-0.509	-0.434	-0.178	-0.242	0.608	0.985	-0.233	1.358	-1.990	-0.365	0.435
12	-0.347	-0.137	0.472	0.163	0.003	0.762	-0.459	0.027	0.594	1.560	0.175	-0.551	-0.867	-0.465	0.041	0.021	-0.550	-0.348	0.988	0.418	-0.556	0.120	0.187	0.369	0.161	-0.916	0.338	1.448	0.414	-0.726	1.163	0.864	-0.432	0.191	0.845	0.054	0.699	0.645	0.811	-0.336	0.851	0.435
13	-0.266	0.884	0.285	-0.151	-0.179	-0.517	0.016	-0.847	-0.021	-0.828	-0.094	-0.166	0.759	0.464	-0.804	0.413	0.419	0.644	-0.287	-0.269	-0.030	0.132	-0.444	-0.723	-0.471	1.110	0.316	0.606	0.019	0.257	-0.420	-0.309	0.072	0.483	0.679	0.313	-0.264	0.542	0.096	1.242	-0.550	1.131
14	0.644	-0.251	0.218	-0.066	-0.293	-0.351	0.214	0.542	-1.222	-0.185	0.323	0.768	-0.328	0.403	0.165	-0.042	0.089	-0.015	-0.823	0.656	-0.808	0.137	-0.706	-0.723	0.202	-0.361	-0.810	0.776	0.763	0.123	-0.240	0.214	-0.105	-0.338	-1.418	0.313	-0.007	-0.105	-0.045	-0.984	-0.562	-0.629
15	-0.942	0.221	-0.182	0.098	-0.455	-0.517	-0.201	-0.117	-0.228	-0.567	-0.406	-0.505	-0.665	0.025	-0.203	-0.352	0.075	0.601	-0.115	-0.511	-0.909	-0.358	-0.581	-1.142	-0.605	-0.152	0.214	0.319	-0.213	-0.621	-0.126	0.059	0.072	-0.402	-0.710	0.313	-1.240	-1.162	-0.848	-0.751	-0.836	-1.484
16	-0.504	0.422	-0.084	-0.086	-0.450	-0.303	-0.437	-0.279	-0.797	0.920	0.982	-2.218	1.557	-1.053	0.913	1.641	0.063	0.508	-0.728	0.088	-0.661	-1.135	-1.496	0.492	-0.605	-1.375	0.656	1.087	0.510	0.949	0.709	-0.452	0.066	0.909	0.078	0.388	-1.486	-0.893	-1.138	-0.984	-0.989	1.778
17	-0.161	0.615	0.159	0.341	-0.424	0.732	0.042	-0.364	0.778	-0.232	0.263	0.860	0.646	0.161	0.597	0.586	-0.325	0.391	0.768	0.608	0.457	-1.294	-0.362	0.209	0.424	-0.916	0.791	0.526	0.397	-0.725	-0.001	0.864	0.552	0.358	-1.939	-0.089	-0.507	-1.695	0.609	-0.454	0.421	-0.763
18	0.644	-0.864	-1.232	-0.154	0.508	0.797	-1.121	0.295	-0.305	-0.937	-0.141	0.031	0.413	0.139	-0.332	0.172	0.013	-1.335	-0.548	0.000	0.058	-0.505	0.154	0.091	0.599	0.116	0.084	-0.381	-0.403	0.092	-0.049	0.163	-0.222	0.167	0.872	0.655	1.054	1.513	0.724	1.242	0.421	0.711
19	-0.350	-0.864	-0.618	-0.074	-0.178	0.017	-0.785	-0.350	0.203	-0.323	-0.658	-0.052	0.413	-0.006	-0.665	-0.399	-0.108	-1.022	0.101	-1.314	0.999	-0.168	-0.784	0.209	0.485	0.744	-0.838	-0.610	-1.560	0.260	-0.633	-0.700	-0.432	0.156	0.845	-0.603	0.173	-0.256	-0.324	0.847	-0.513	1.261
20	0.316	0.007	-0.182	0.054	0.649	0.150	0.098	0.571	-0.927	0.691	0.156	0.671	-0.090	0.161	-0.181	0.021	-0.629	0.225	1.007	0.566	-0.273	-0.822	-0.515	0.091	0.599	-0.916	0.816	0.514	0.611	0.243	0.486	0.465	0.189	0.167	0.690	0.313	0.103	0.708	0.171	0.974	0.612	0.236
21	-0.347	-0.455	-0.659	-0.085	-0.733	-0.068	-0.759	0.444	-0.065	0.272	-0.067	0.258	-0.620	0.097	-0.529	0.601	0.250	0.190	0.241	0.656	0.064	-1.460	-0.429	-0.783	-0.790	0.744	-0.120	0.234	-0.257	0.553	-0.303	-0.587	-0.222	-0.076	-1.342	-0.035	0.747	0.292	-0.539	-1.182	-0.643	-0.629
22	-0.347	0.668	0.606	0.237	-0.292	-0.282	-0.069	-0.211	0.594	0.021	0.333	-0.229	-0.542	-0.351	0.674	0.109	0.286	0.037	-0.260	-0.269	-1.020	0.007	0.324	-0.907	-0.375	0.313	0.508	0.697	0.763	-0.227	0.152	0.558	0.552	0.159	-0.479	-0.973	0.517	-0.434	-0.146	-0.172	0.212	-0.629
23	-0.115	0.652	0.437	0.021	-0.103	-0.250	-0.154	-0.247	-0.248	0.532	0.201	-0.330	-0.503	-0.467	0.561	-0.024	-0.064	1.100	-0.138	-0.062	-0.576	-0.448	0.181	-1.073	-0.508	-0.815	0.930	1.167	1.016	-1.352	0.501	0.861	0.791	1.499	0.872	-0.213	0.784	0.163	1.071	1.242	-0.157	-0.629
24	0.644	-0.180	-1.127	-0.135	-0.442	0.198	-0.468	0.444	-0.206	1.092	0.186	-0.564	0.094	-0.259	0.525	-0.174	-0.254	1.033	-1.064	-0.909	-1.020	-0.099	-0.512	-1.343	-0.493	-0.815	-0.046	0.655	0.152	0.414	0.419	0.502	-0.222	-0.133	-1.840	-0.089	1.377	0.708	-0.146	0.867	0.612	0.435
